PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
916,1,1,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",0,1.4501811608177106,1,3,PC 17608,4.065708591502392,B57 B59 B63 B66,0
917,0,3,"Robins, Mr. Alexander A",1,1.6078033997104633,1,0,A/5. 3337,-0.3778290617433466,,2
918,1,1,"Ostby, Miss. Helene Ragnhild",0,-0.5989079447880722,0,1,113509,0.4733080555374806,B36,0
919,0,3,"Daher, Mr. Shedid",1,-0.5595023850648841,0,0,2698,-0.5082445390095603,,0
920,0,1,"Brady, Mr. John Bertram",1,0.8985033246930769,0,0,113054,-0.09100464438809973,A21,2
921,0,3,"Samaan, Mr. Elias",1,-0.2048523475561909,2,0,2662,-0.24913094567604727,,0
922,0,2,"Louch, Mr. Charles Alexander",1,1.6078033997104633,1,0,SC/AH 3085,-0.1716740117692629,,2
923,0,2,"Jefferys, Mr. Clifford Thomas",1,-0.4412857058953197,2,0,C.A. 31029,-0.0730781183033968,,2
924,1,3,"Dean, Mrs. Bertram (Eva Georgetta Light)",0,0.2680143691220667,1,2,C.A. 2315,-0.26892541577877627,,2
925,1,3,"Johnston, Mrs. Andrew G (Elizabeth Lily"" Watson)""",0,-0.2048523475561909,1,2,W./C. 6607,-0.2173866532852554,,2
926,0,1,"Mock, Mr. Philipp Edmund",1,0.031581010782937916,1,0,13236,0.397493191420055,C78,0
927,0,3,"Katavelas, Mr. Vassilios (Catavelas Vassilios"")""",1,-0.8747468628503892,0,0,2682,-0.5081692476000046,,0
928,1,3,"Roth, Miss. Sarah A",0,-0.2048523475561909,0,0,342712,-0.4934551549896804,,2
929,1,3,"Cacic, Miss. Manda",0,-0.6777190642344485,0,0,315087,-0.48247515776279987,,2
930,0,3,"Sap, Mr. Julius",1,-0.3624745864489434,0,0,345768,-0.4674616921668612,,2
931,0,3,"Hee, Mr. Ling",1,-0.2048523475561909,0,0,1601,0.37500974240462065,,2
932,0,3,"Karun, Mr. Franz",1,0.7408810858003243,0,1,349256,-0.39724886745090526,,0
933,0,1,"Franklin, Mr. Thomas Parham",1,-0.2048523475561909,0,0,113778,-0.16181442242267627,D34,2
934,0,3,"Goldsmith, Mr. Nathan",1,0.8985033246930769,0,0,SOTON/O.Q. 3101263,-0.497040460206621,,2
935,1,2,"Corbett, Mrs. Walter H (Irene Colvin)",0,0.031581010782937916,0,0,237249,-0.40471885087040094,,2
936,1,1,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",0,1.213747802478582,1,0,11753,0.3043505471891556,D19,2
937,0,3,"Peltomaki, Mr. Nikolai Johannes",1,-0.3624745864489434,0,0,STON/O 2. 3101291,-0.4956959707502683,,2
938,0,1,"Chevre, Mr. Paul Romaine",1,1.213747802478582,0,0,PC 17594,-0.10534586525586208,A9,0
939,0,3,"Shaughnessy, Mr. Patrick",1,-0.2048523475561909,0,0,370374,-0.4988331128150913,,1
940,1,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",0,2.395914594174226,0,0,11813,0.7298814601247914,D15,0
941,1,3,"Coutts, Mrs. William (Winnie Minnie"" Treanor)""",0,0.5044477274611955,0,2,C.A. 37671,-0.3527319252247625,,2
942,0,1,"Smith, Mr. Lucien Philip",1,-0.4412857058953197,1,0,13695,0.4378278751106366,C31,2
943,0,2,"Pulbaum, Mr. Franz",1,-0.2048523475561909,0,0,SC/PARIS 2168,-0.3682688453823745,,0
944,1,2,"Hocking, Miss. Ellen Nellie""""",0,-0.7565301836808248,2,1,29105,-0.22545359002337167,,2
945,1,1,"Fortune, Miss. Ethel Flora",0,-0.1260412281098146,3,2,19950,4.07691267030533,C23 C25 C27,2
946,0,2,"Mangiavacchi, Mr. Serafino Emilio",1,-0.2048523475561909,0,0,SC/A.3 2861,-0.35848275479273517,,0
947,0,3,"Rice, Master. Albert",1,-1.5446413781445874,4,1,382652,-0.11565361775456626,,1
948,0,3,"Cor, Mr. Bartol",1,0.4256366080148193,0,0,349230,-0.4962194253119416,,2
949,0,3,"Abelseth, Mr. Olaus Jorgensen",1,-0.3624745864489434,0,0,348122,-0.5006257654235616,F G63,2
950,0,3,"Davison, Mr. Thomas Henry",1,-0.2048523475561909,1,0,386525,-0.3491466200078219,,2
951,1,1,"Chaudanson, Miss. Victorine",0,0.5044477274611955,0,0,PC 17608,4.065708591502392,B61,0
952,0,3,"Dika, Mr. Mirko",1,-0.9929635420199536,0,0,349232,-0.4962194253119416,,2
953,0,2,"McCrae, Mr. Arthur Gordon",1,0.18920324967569047,0,0,237216,-0.3957555878280495,,2
954,0,3,"Bjorklund, Mr. Ernst Herbert",1,-0.9141524225735773,0,0,347090,-0.4988331128150913,,2
955,1,3,"Bradley, Miss. Bridget Delia",0,-0.5989079447880722,0,0,334914,-0.49928127596720884,,1
956,0,1,"Ryerson, Master. John Borie",1,-1.3082080198054586,2,2,PC 17608,4.065708591502392,B57 B59 B63 B66,0
957,1,2,"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",0,-0.2048523475561909,0,0,F.C.C. 13534,-0.26130664219277755,,2
958,1,3,"Burns, Miss. Mary Delia",0,-0.9141524225735773,0,0,330963,-0.49651700564494766,,1
959,0,1,"Moore, Mr. Clarence Bloomfield",1,1.3713700413713346,0,0,113796,0.12232101601986507,,2
960,0,1,"Tucker, Mr. Gilbert Milligan Jr",1,0.11039213022931418,0,0,2543,-0.1261854518293292,C53,0
961,1,1,"Fortune, Mrs. Mark (Mary McDougald)",0,2.395914594174226,1,4,19950,4.07691267030533,C23 C25 C27,2
962,1,3,"Mulvihill, Miss. Bertha E",0,-0.4412857058953197,0,0,382653,-0.4988331128150913,,1
963,0,3,"Minkoff, Mr. Lazar",1,-0.6777190642344485,0,0,349211,-0.4962194253119416,,2
964,1,3,"Nieminen, Miss. Manta Josefina",0,-0.04723010866343835,0,0,3101297,-0.4956959707502683,,2
965,0,1,"Ovies y Rodriguez, Mr. Servando",1,-0.08663566838662648,0,0,PC 17562,-0.1408260456827061,D43,0
966,1,1,"Geiger, Miss. Amalie",0,0.4256366080148193,0,0,113503,3.15369657694313,C130,0
967,0,1,"Keeping, Mr. Edwin",1,0.2286088093988786,0,0,113503,3.15369657694313,C132,0
968,0,3,"Miles, Mr. Frank",1,-0.2048523475561909,0,0,359306,-0.4934551549896804,,2
969,1,1,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",0,2.0018589969423446,2,0,11770,-0.17705196959467379,C101,2
970,0,2,"Aldworth, Mr. Charles Augustus",1,0.031581010782937916,0,0,248744,-0.40471885087040094,,2
971,1,3,"Doyle, Miss. Elizabeth",0,-0.4412857058953197,0,0,368702,-0.4988331128150913,,1
972,0,3,"Boulos, Master. Akar",1,-1.8598858559300926,1,1,2678,-0.3644594585893751,,0
973,0,1,"Straus, Mr. Isidor",1,2.9475924302988603,1,0,PC 17483,3.3379669238730085,C55 C57,2
974,0,1,"Case, Mr. Howard Brown",1,1.528992280264087,0,0,19924,-0.1716740117692629,,2
975,0,3,"Demetri, Mr. Marinko",1,-0.2048523475561909,0,0,349238,-0.4962194253119416,,2
976,0,2,"Lamb, Mr. John Joseph",1,-0.2048523475561909,0,0,240261,-0.4458010706987146,,1
977,0,3,"Khalil, Mr. Betros",1,-0.2048523475561909,1,0,2660,-0.37865009663802596,,0
978,1,3,"Barry, Miss. Julia",0,-0.2048523475561909,0,0,330844,-0.49651700564494766,,1
979,1,3,"Badman, Miss. Emily Louisa",0,-0.9141524225735773,0,0,A/4 31416,-0.4934551549896804,,2
980,1,3,"O'Donoghue, Ms. Bridget",0,-0.2048523475561909,0,0,364856,-0.4988331128150913,,1
981,0,2,"Wells, Master. Ralph Lester",1,-2.1751303337155976,1,1,29103,-0.22545359002337167,,2
982,1,3,"Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)",0,-0.5989079447880722,1,0,347072,-0.38858497739416836,,2
983,0,3,"Pedersen, Mr. Olaf",1,-0.2048523475561909,0,0,345498,-0.49838494966297375,,2
984,1,1,"Davidson, Mrs. Thornton (Orian Hays)",0,-0.2048523475561909,1,2,F.C. 12750,0.2944156664330132,B71,2
985,0,3,"Guest, Mr. Robert",1,-0.2048523475561909,0,0,376563,-0.4934551549896804,,2
986,0,1,"Birnbaum, Mr. Jakob",1,-0.3624745864489434,0,0,13905,-0.1716740117692629,,0
987,0,3,"Tenglin, Mr. Gunnar Isidor",1,-0.3624745864489434,0,0,350033,-0.4980120779204119,,2
988,1,1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",0,3.6568925053162467,1,0,19877,0.7757428918072866,C46,2
989,0,3,"Makinen, Mr. Kalle Edvard",1,-0.04723010866343835,0,0,STON/O 2. 3101268,-0.4956959707502683,,2
990,1,3,"Braf, Miss. Elin Ester Maria",0,-0.7565301836808248,0,0,347471,-0.4969651687970653,,2
991,0,3,"Nancarrow, Mr. William Henry",1,0.2680143691220667,0,0,A./5. 3338,-0.4934551549896804,,2
992,1,1,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",0,1.0561255635858293,1,0,11778,0.3561133912587352,C116,0
993,0,2,"Weisz, Mr. Leopold",1,-0.2048523475561909,1,0,228414,-0.1716740117692629,,2
994,0,3,"Foley, Mr. William",1,-0.2048523475561909,0,0,365235,-0.4988331128150913,,1
995,0,3,"Johansson Palmquist, Mr. Oskar Leander",1,-0.28366346700256717,0,0,347070,-0.49838494966297375,,2
996,1,3,"Thomas, Mrs. Alexander (Thamine Thelma"")""",0,-1.07177466146633,1,1,2625,-0.4850888452659496,,0
997,0,3,"Holthen, Mr. Johan Martin",1,-0.1260412281098146,0,0,C 4001,-0.2339686899136056,,2
998,0,3,"Buckley, Mr. Daniel",1,-0.6777190642344485,0,0,330920,-0.49756391476829437,,1
999,0,3,"Ryan, Mr. Edward",1,-0.2048523475561909,0,0,383162,-0.4988331128150913,,1
1000,0,3,"Willer, Mr. Aaron (Abi Weller"")""",1,-0.2048523475561909,0,0,3410,-0.4815788314585648,,2
1001,0,2,"Swane, Mr. George",1,-0.8747468628503892,0,0,248734,-0.40471885087040094,F,2
1002,0,2,"Stanton, Mr. Samuel Ward",1,0.8985033246930769,0,0,237734,-0.3680447638063157,,0
1003,1,3,"Shine, Miss. Ellen Natalia",0,-0.2048523475561909,0,0,330968,-0.498309658253418,,1
1004,1,1,"Evans, Miss. Edith Corse",0,0.5044477274611955,0,0,PC 17531,-0.06986568482901802,A29,0
1005,1,3,"Buckley, Miss. Katherine",0,-0.8747468628503892,0,0,329944,-0.5071994225388221,,1
1006,1,1,"Straus, Mrs. Isidor (Rosalie Ida Blun)",0,2.632347952513355,1,0,PC 17483,3.3379669238730085,C55 C57,2
1007,0,3,"Chronopoulos, Mr. Demetrios",1,-0.9141524225735773,1,0,2680,-0.37865009663802596,,0
1008,0,3,"Thomas, Mr. John",1,-0.2048523475561909,0,0,2681,-0.5223616783012639,,0
1009,1,3,"Sandstrom, Miss. Beatrice Irene",0,-2.253941453161974,1,1,PP 9549,-0.33839070435700014,G6,2
1010,0,1,"Beattie, Mr. Thomson",1,0.5044477274611955,0,0,13050,0.711058607735853,C6,0
1011,1,2,"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",0,-0.04723010866343835,1,0,SC/AH 29037,-0.1716740117692629,,2
1012,1,2,"Watt, Miss. Bertha J",0,-1.387019139251835,0,0,C.A. 33595,-0.3554209041374679,,2
1013,0,3,"Kiernan, Mr. John",1,-0.2048523475561909,1,0,367227,-0.4988331128150913,,1
1014,1,1,"Schabert, Mrs. Paul (Emma Mock)",0,0.4256366080148193,1,0,13236,0.397493191420055,C28,0
1015,0,3,"Carver, Mr. Alfred John",1,-0.1260412281098146,0,0,392095,-0.5077963758574427,,2
1016,0,3,"Kennedy, Mr. John",1,-0.2048523475561909,0,0,368783,-0.4988331128150913,,1
1017,1,3,"Cribb, Miss. Laura Alice",0,-0.9929635420199536,0,1,371362,-0.3491466200078219,,2
1018,0,3,"Brobeck, Mr. Karl Rudolf",1,-0.5989079447880722,0,0,350045,-0.4980120779204119,,2
1019,1,3,"McCoy, Miss. Alicia",0,-0.2048523475561909,2,0,367226,-0.22097195850219595,,1
1020,0,2,"Bowenur, Mr. Solomon",1,0.9773144441394531,0,0,211535,-0.40471885087040094,,2
1021,0,3,"Petersen, Mr. Marius",1,-0.4412857058953197,0,0,342441,-0.4934551549896804,,2
1022,0,3,"Spinner, Mr. Henry John",1,0.18920324967569047,0,0,STON/OQ. 369943,-0.4934551549896804,,2
1023,0,1,"Gracie, Col. Archibald IV",1,1.8442367580495922,0,0,113780,-0.1268576965575056,C51,0
1024,1,3,"Lefebre, Mrs. Frank (Frances)",0,-0.2048523475561909,0,4,4133,-0.181234228130235,,2
1025,0,3,"Thomas, Mr. Charles P",1,-0.2048523475561909,1,0,2621,-0.5223616783012639,,0
1026,0,3,"Dintcheff, Mr. Valtcho",1,1.0561255635858293,0,0,349226,-0.4962194253119416,,2
1027,0,3,"Carlsson, Mr. Carl Robert",1,-0.4412857058953197,0,0,350409,-0.4969651687970653,,2
1028,0,3,"Zakarian, Mr. Mapriededer",1,-0.24425790727937902,0,0,2656,-0.5082445390095603,,0
1029,0,2,"Schmidt, Mr. August",1,-0.28366346700256717,0,0,248659,-0.40471885087040094,,2
1030,1,3,"Drapkin, Miss. Jennie",0,-0.520096825341696,0,0,SOTON/OQ 392083,-0.4934551549896804,,2
1031,0,3,"Goodwin, Mr. Charles Frederick",1,0.8196922052467006,1,6,CA 2144,0.20299038340102823,,2
1032,1,3,"Goodwin, Miss. Jessie Allis",0,-1.5446413781445874,5,2,CA 2144,0.20299038340102823,,2
1033,1,1,"Daniels, Miss. Sarah",0,0.2680143691220667,0,0,113781,2.07900133816519,,2
1034,0,1,"Ryerson, Mr. Arthur Larned",1,2.4747257136206025,1,3,PC 17608,4.065708591502392,B57 B59 B63 B66,0
1035,0,2,"Beauchamp, Mr. Henry James",1,-0.1260412281098146,0,0,244358,-0.1716740117692629,,2
1036,0,1,"Lindeberg-Lind, Mr. Erik Gustaf (Mr Edward Lingrey"")""",1,0.9773144441394531,0,0,17475,-0.16181442242267627,,2
1037,0,3,"Vander Planke, Mr. Julius",1,0.11039213022931418,3,0,345763,-0.31508622044688633,,2
1038,0,1,"Hilliard, Mr. Herbert Henry",1,-0.2048523475561909,0,0,17463,0.29195076909636647,E46,2
1039,0,3,"Davies, Mr. Evan",1,-0.5989079447880722,0,0,SC/A4 23568,-0.4934551549896804,,2
1040,0,1,"Crafton, Mr. John Bertram",1,-0.2048523475561909,0,0,113791,-0.16181442242267627,,2
1041,0,2,"Lahtinen, Rev. William",1,0.031581010782937916,1,1,250651,-0.1716740117692629,,2
1042,1,1,"Earnshaw, Mrs. Boulton (Olive Potter)",0,-0.520096825341696,0,1,11767,0.8529757441380124,C54,0
1043,0,3,"Matinoff, Mr. Nicola",1,-0.2048523475561909,0,0,349255,-0.4962194253119416,,0
1044,0,3,"Storey, Mr. Thomas",1,2.4353201538974143,0,0,3701,-0.37865009663802596,,2
1045,1,3,"Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)",0,0.5044477274611955,0,2,350405,-0.41935944472377784,,2
1046,0,3,"Asplund, Master. Filip Oscar",1,-1.3082080198054586,4,2,347077,-0.0750948524879259,,2
1047,0,3,"Duquemin, Mr. Joseph",1,-0.4412857058953197,0,0,S.O./P.P. 752,-0.5024184180320319,,2
1048,1,1,"Bird, Miss. Ellen",0,-0.04723010866343835,0,0,PC 17483,3.3379669238730085,C97,2
1049,1,3,"Lundin, Miss. Olga Elida",0,-0.520096825341696,0,0,347469,-0.4969651687970653,,2
1050,0,1,"Borebank, Mr. John James",1,0.9773144441394531,0,0,110489,-0.16181442242267627,D22,2
1051,1,3,"Peacock, Mrs. Benjamin (Edith Nile)",0,-0.28366346700256717,0,2,SOTON/O.Q. 3101315,-0.3908257931547562,,2
1052,1,3,"Smyth, Miss. Julia",0,-0.2048523475561909,0,0,335432,-0.49913248580070585,,1
1053,0,3,"Touma, Master. Georges Youssef",1,-1.7810747364837163,1,1,2650,-0.3644594585893751,,0
1054,1,2,"Wright, Miss. Marion",0,-0.28366346700256717,0,0,220844,-0.3957555878280495,,2
1055,0,3,"Pearce, Mr. Ernest",1,-0.2048523475561909,0,0,343271,-0.5122780073786185,,2
1056,0,2,"Peruschitz, Rev. Joseph Maria",1,0.8985033246930769,0,0,237393,-0.40471885087040094,,2
1057,1,3,"Kink-Heilmann, Mrs. Anton (Luise Heilmann)",0,-0.28366346700256717,1,1,315153,-0.24293195295595707,,2
1058,0,1,"Brandeis, Mr. Emil",1,1.4501811608177106,0,0,PC 17591,0.2674505858964031,B10,0
1059,0,3,"Ford, Mr. Edward Watson",1,-0.9141524225735773,2,2,W./C. 6608,-0.02153935580987589,,2
1060,1,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",0,-0.2048523475561909,0,0,17770,-0.1408260456827061,,0
1061,1,3,"Hellstrom, Miss. Hilda Maria",0,-0.5989079447880722,0,0,7548,-0.477097199937389,,2
1062,0,3,"Lithman, Mr. Simon",1,-0.2048523475561909,0,0,S.O./P.P. 251,-0.5024184180320319,,2
1063,0,3,"Zakarian, Mr. Ortin",1,-0.2048523475561909,0,0,2670,-0.5082445390095603,,0
1064,0,3,"Dyker, Mr. Adolf Fredrik",1,-0.520096825341696,1,0,347072,-0.38858497739416836,,2
1065,0,3,"Torfa, Mr. Assad",1,-0.2048523475561909,0,0,2673,-0.5081692476000046,,0
1066,0,3,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",1,0.8196922052467006,1,5,347077,-0.0750948524879259,,2
1067,1,2,"Brown, Miss. Edith Eileen",0,-1.150585780912706,0,2,29750,0.06137082733187515,,2
1068,1,2,"Sincock, Miss. Maude",0,-0.7565301836808248,0,0,C.A. 33112,0.02103614364129356,,2
1069,0,1,"Stengel, Mr. Charles Emil Henry",1,1.9230478774959683,1,0,11778,0.3561133912587352,C116,0
1070,1,2,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",0,0.5044477274611955,0,3,230136,0.06137082733187515,F4,2
1071,1,1,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",0,2.7111590719597314,0,2,PC 17756,0.8529757441380124,E45,0
1072,0,2,"McCrie, Mr. James Matthew",1,0.031581010782937916,0,0,233478,-0.40471885087040094,,2
1073,0,1,"Compton, Mr. Alexander Taylor Jr",1,0.5832588469075718,1,1,PC 17756,0.8529757441380124,E52,0
1074,1,1,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",0,-0.9141524225735773,1,0,113773,0.31413484512618645,D30,2
1075,0,3,"Lane, Mr. Patrick",1,-0.2048523475561909,0,0,7935,-0.4988331128150913,,1
1076,1,1,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",0,-0.2048523475561909,1,1,PC 17558,3.7994243877349976,B58 B60,0
1077,0,2,"Maybery, Mr. Frank Hubert",1,0.8196922052467006,0,0,239059,-0.35093927261629215,,2
1078,1,2,"Phillips, Miss. Alice Frances Louisa",0,-0.6777190642344485,0,1,S.O./P.P. 2,-0.26130664219277755,,2
1079,0,3,"Davies, Mr. Joseph",1,-0.9929635420199536,2,0,A/4 48873,-0.4934551549896804,,2
1080,1,3,"Sage, Miss. Ada",0,-0.2048523475561909,8,2,CA. 2343,0.6090261992195495,,2
1081,0,2,"Veal, Mr. James",1,0.8196922052467006,0,0,28221,-0.40471885087040094,,2
1082,0,2,"Angle, Mr. William A",1,0.346825488568443,1,0,226875,-0.1716740117692629,,2
1083,0,1,"Salomon, Mr. Abraham L",1,-0.2048523475561909,0,0,111163,-0.1716740117692629,,2
1084,0,3,"van Billiard, Master. Walter John",1,-1.426424698975023,1,1,A/5. 851,-0.3778290617433466,,2
1085,0,2,"Lingane, Mr. John",1,2.4747257136206025,0,0,235509,-0.4163710928254578,,1
1086,0,2,"Drew, Master. Marshall Brines",1,-1.70226361703734,0,2,28220,-0.055151592218693875,,2
1087,0,3,"Karlsson, Mr. Julius Konrad Eugen",1,0.2680143691220667,0,0,347465,-0.4969651687970653,,2
1088,0,1,"Spedden, Master. Robert Douglas",1,-1.8598858559300926,0,2,16966,1.7733540684210047,E34,0
1089,1,3,"Nilsson, Miss. Berta Olivia",0,-0.9141524225735773,0,0,347066,-0.49838494966297375,,2
1090,0,2,"Baimbrigge, Mr. Charles Robert",1,-0.520096825341696,0,0,C.A. 31030,-0.44953516608215827,,2
1091,1,3,"Rasmussen, Mrs. (Lena Jacobsen Solvang)",0,-0.2048523475561909,0,0,65305,-0.49233474710938646,,2
1092,1,3,"Murphy, Miss. Nora",0,-0.2048523475561909,0,0,36568,-0.3599025356586436,,1
1093,0,3,"Danbom, Master. Gilbert Sigvard Emanuel",1,-2.306744903191046,0,2,347080,-0.37962171435181685,,2
1094,0,1,"Astor, Col. John Jacob",1,1.3713700413713346,1,0,PC 17757,3.440969157450495,C62 C64,0
1095,1,2,"Quick, Miss. Winifred Vera",0,-1.70226361703734,1,1,26360,-0.1716740117692629,,2
1096,0,2,"Andrew, Mr. Frank Thomas",1,-0.3624745864489434,0,0,C.A. 34050,-0.44953516608215827,,2
1097,0,1,"Omont, Mr. Alfred Fernand",1,-0.2048523475561909,0,0,F.C. 12998,-0.17630443345694163,,0
1098,1,3,"McGowan, Miss. Katherine",0,0.4256366080148193,0,0,9232,-0.4988331128150913,,1
1099,0,2,"Collett, Mr. Sidney C Stuart",1,-0.4412857058953197,0,0,28034,-0.44953516608215827,,2
1100,1,1,"Rosenbaum, Miss. Edith Louise",0,0.2680143691220667,0,0,PC 17613,-0.1408260456827061,A11,0
1101,0,3,"Delalic, Mr. Redjo",1,-0.3624745864489434,0,0,349250,-0.4962194253119416,,2
1102,0,3,"Andersen, Mr. Albert Karvin",1,0.18920324967569047,0,0,C 4001,-0.2339686899136056,,2
1103,0,3,"Finoli, Mr. Luigi",1,-0.2048523475561909,0,0,SOTON/O.Q. 3101308,-0.5113816810743833,,2
1104,0,2,"Deacon, Mr. Percy William",1,-0.9929635420199536,0,0,S.O.C. 14879,0.6798359772541261,,2
1105,1,2,"Howard, Mrs. Benjamin (Ellen Truelove Arman)",0,2.395914594174226,1,0,24065,-0.1716740117692629,,2
1106,1,3,"Andersson, Miss. Ida Augusta Margareta",0,0.6620699663539481,4,2,347091,-0.49838494966297375,,2
1107,0,1,"Head, Mr. Christopher",1,0.9773144441394531,0,0,113038,0.1241136686283354,B11,2
1108,1,3,"Mahon, Miss. Bridget Delia",0,-0.2048523475561909,0,0,330924,-0.49651700564494766,,1
1109,0,1,"Wick, Mr. George Dennick",1,2.159481235835097,1,1,36928,2.3177235080773535,,2
1110,1,1,"Widener, Mrs. George Dunton (Eleanor Elkins)",0,1.6078033997104633,1,1,113503,3.15369657694313,C80,0
1111,0,3,"Thomson, Mr. Alexander Morrison",1,-0.2048523475561909,0,0,32302,-0.4934551549896804,,2
1112,1,2,"Duran y More, Miss. Florentina",0,0.031581010782937916,1,0,SC/PARIS 2148,-0.3893325135319004,,0
1113,0,3,"Reynolds, Mr. Harold J",1,-0.6777190642344485,0,0,342684,-0.4934551549896804,,2
1114,1,2,"Cook, Mrs. (Selena Rogers)",0,-0.5989079447880722,0,0,W./C. 14266,-0.44953516608215827,F33,2
1115,0,3,"Karlsson, Mr. Einar Gervasius",1,-0.6777190642344485,0,0,350053,-0.4980120779204119,,2
1116,1,1,"Candee, Mrs. Edward (Helen Churchill Hungerford)",0,1.8442367580495922,0,0,PC 17606,-0.14575584035599945,,0
1117,1,3,"Moubarek, Mrs. George (Omine Amenia"" Alexander)""",0,-0.2048523475561909,0,2,2661,-0.3644594585893751,,0
1118,0,3,"Asplund, Mr. Johan Charles",1,-0.520096825341696,0,0,350054,-0.4980120779204119,,2
1119,1,3,"McNeill, Miss. Bridget",0,-0.2048523475561909,0,0,370368,-0.4988331128150913,,1
1120,0,3,"Everett, Mr. Thomas James",1,0.8590977649698888,0,0,C.A. 6212,-0.3670731460925248,,2
1121,0,2,"Hocking, Mr. Samuel James Metcalfe",1,0.5044477274611955,0,0,242963,-0.40471885087040094,,2
1122,0,2,"Sweet, Mr. George Frederick",1,-1.2293969003590823,0,0,220845,0.5274605055341512,,2
1123,1,1,"Willard, Miss. Constance",0,-0.6777190642344485,0,0,113795,-0.16181442242267627,,2
1124,0,3,"Wiklund, Mr. Karl Johan",1,-0.6777190642344485,1,0,3101266,-0.5213165618305258,,2
1125,0,3,"Linehan, Mr. Michael",1,-0.2048523475561909,0,0,330971,-0.49651700564494766,,1
1126,0,1,"Cumings, Mr. John Bradley",1,0.7408810858003243,1,0,PC 17599,0.6400982468821651,C85,0
